职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
软件工程师  不加班,成都志合信蒙科技,"['30.653404', '104.096611']",168504005,6千-1.2万,成都-锦江区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 09:26:18,6.0,12.0,9.0,30.653404,104.096611,成都,锦江区,3.0,0.0
物联网技术工程师,四川纳贝卓科技,"['30.600939', '104.069084']",163990233,4-8千,成都-高新区,大专,无需经验,民营,计算机软件,2025-12-26 08:53:07,4.0,8.0,6.0,30.600939,104.069084,成都,高新区,3.0,0.0
硬件助理工程师,成都蜀智云创科技,"['30.610781', '103.985947']",166695445,4-7千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:57,4.0,7.0,5.5,30.610781,103.985947,成都,武侯区,3.0,0.0
上五休二-硬件技术助理,成都蜀智云创科技,"['30.610781', '103.985947']",165404885,4-8千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:58,4.0,8.0,6.0,30.610781,103.985947,成都,武侯区,3.0,0.0
自动化软件测试  不加班,成都志合信蒙科技,"['30.653404', '104.096611']",168466812,6千-1.2万,成都-锦江区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 09:26:30,6.0,12.0,9.0,30.653404,104.096611,成都,锦江区,3.0,0.0
测试工程师（实习生）,成都蜀智云创科技,"['30.610781', '103.985947']",164096320,130元/天,成都-武侯区,大专,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-26 14:33:57,2.9,2.9,2.9,30.610781,103.985947,成都,武侯区,3.0,0.0
软件测试  接受实习,成都志合信蒙科技,"['30.653404', '104.096611']",169949346,7千-1.2万,成都-锦江区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 09:25:25,7.0,12.0,9.5,30.653404,104.096611,成都,锦江区,3.0,0.0
电子工程师,成都风雨兴科技,"['30.645643', '104.033027']",144143857,5-9千,成都,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-28 11:34:44,5.0,9.0,7.0,30.645643,104.033027,成都,,3.0,0.0
导航信息处理工程师（嵌入式）（校招）,成都国星通信,"['30.739093', '103.975585']",167723770,22-26万/年,成都,硕士,无需经验,已上市,通信/电信/网络设备,2025-12-18 09:46:01,18.3,21.7,20.0,30.739093,103.975585,成都,,5.0,0.0
电子工程师（初级/中级）,北京智链元芯科技,"['30.658944', '104.08633']",168573117,7千-1.3万·13薪,成都-锦江区,本科,1年及以上,民营,电子技术/半导体/集成电路,2025-10-13 11:54:41,6.5,12.0,9.2,30.658944,104.08633,成都,锦江区,4.0,1.0
软件测试工程师,深圳库博能源,"['30.410441', '104.117638']",166655021,3-4千·16薪,成都-天府新区,本科,无需经验,民营,新能源,2025-12-19 10:46:08,2.2,3.0,2.6,30.410441,104.117638,成都,天府新区,4.0,0.0
